ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_Clean
978-1-71815-806-1,Realigned contextually-based toolset,Darren Jones-Steele,Fiction,1972,0,2024-03-25,Missing,978-1-71815-806-1
978-1-9991365-0-5,Intuitive client-server solution,Ashleigh Ali,Reference,1961,9,2020-12-05,Reserved,978-1-9991365-0-5
978-1-191-93968-3,Digitized didactic website,Gregory Rowley,Fiction,1959,4,2019-09-23,Damaged,978-1-191-93968-3
978-0-86717-080-1,Up-sized logistical installation,Jeffrey Jackson-Richardson,Reference,1999,1,2022-01-23,Checked Out,978-0-86717-080-1
978-0-932850-71-3,Face-to-face local open architecture,Danny Knowles,Young Adult,1954,7,2019-12-29,Damaged,978-0-932850-71-3
9780293321341,Reverse-engineered uniform intranet,Hannah Moran,Non-Fiction,2012,2,2022-09-13,Available,9780293321341
978-0-209-40037-5,Polarized system-worthy capacity,Jayne Bartlett-Hill,Children,1996,0,2020-12-06,Missing,978-0-209-40037-5
978-1-75885-627-9,Optional dedicated data-warehouse,Guy Powell,Reference,1950,6,2021-01-20,Checked Out,978-1-75885-627-9
978-0-661-12620-2,Organic coherent strategy,Dr Bethany O'Brien,Children,1979,3,2020-05-07,Checked Out,978-0-661-12620-2
978-0-695-16571-0,Programmable bifurcated emulation,Mrs Judith Andrews,Children,1953,1,2023-10-26,Damaged,978-0-695-16571-0
978-0-18-601811-2,Face-to-face impactful function,Jodie Marshall,Non-Fiction,2003,2,2017-10-30,Reserved,978-0-18-601811-2
978-0-9933025-5-8,Total responsive conglomeration,Max Nash,Fiction,1954,4,2024-10-07,Missing,978-0-9933025-5-8
9780062314598,Assimilated mission-critical function,Billy Scott,Children,1998,1,2019-09-18,Damaged,9780062314598
978-0-09-619680-1,Seamless incremental contingency,Bradley Archer-Smith,Non-Fiction,1954,5,2024-04-21,Available,978-0-09-619680-1
978-1-05-211203-3,Grass-roots global policy,Alexander Wood-Smith,Children,1962,3,2024-09-06,Checked Out,978-1-05-211203-3
978-0-8164-1804-6,Horizontal stable software,Abigail Thompson,Non-Fiction,1953,9,2024-08-11,Damaged,978-0-8164-1804-6
978-1-08-197140-3,Programmable client-server Graphical User Interface,Dr Ronald Newman,Young Adult,1975,0,2023-05-07,Missing,978-1-08-197140-3
978-1-69544-950-3,Decentralized eco-centric definition,Gillian Freeman-Kennedy,Non-Fiction,1987,0,2017-02-07,Damaged,978-1-69544-950-3
978-0-9580627-4-9,Progressive upward-trending implementation,Josh Lyons,Children,1961,10,2022-05-18,Checked Out,978-0-9580627-4-9
978-1-69839-859-4,Automated grid-enabled architecture,Alison Smith,Children,2022,10,2024-04-03,Damaged,978-1-69839-859-4
978-1-4294-1429-6,Multi-lateral optimizing framework,Mr Abdul Kay,Young Adult,1993,3,2022-04-18,Checked Out,978-1-4294-1429-6
978-1-957762-53-1,Distributed multi-state encryption,Ms Melissa Long,Reference,1956,3,2016-08-08,Damaged,978-1-957762-53-1
978-1-66919-530-6,Polarized secondary superstructure,Ian White,Non-Fiction,2016,5,2024-10-26,Damaged,978-1-66919-530-6
978-1-4728-6174-0,Object-based explicit circuit,Andrea Turner,Children,1975,3,2017-07-25,Missing,978-1-4728-6174-0
978-1-902629-76-6,Stand-alone 6thgeneration encoding,Mr Dean Lord,Fiction,1990,8,2018-10-06,Available,978-1-902629-76-6
978-0-662-86603-9,Cloned logistical projection,Billy Morgan,Fiction,1953,8,2026-04-20,Reserved,978-0-662-86603-9
978-0-468-96701-5,Distributed well-modulated solution,Simon Hayward-Webb,Fiction,2000,2,2017-02-01,Damaged,978-0-468-96701-5
978-1-62774-021-0,Multi-lateral cohesive forecast,Dr Linda Johnson,Young Adult,1996,0,2017-06-10,Available,978-1-62774-021-0
978-1-231-25242-0,Versatile methodical capability,Graham Gray,Children,2005,8,2022-02-15,Checked Out,978-1-231-25242-0
978-1-256-00858-3,Public-key executive adapter,Melissa Russell,Fiction,1984,6,2022-12-04,Reserved,978-1-256-00858-3
978-1-172-15052-6,Re-engineered encompassing customer loyalty,Melanie Thompson,Fiction,1952,3,2017-06-02,Missing,978-1-172-15052-6
978-1-353-13184-9,Robust web-enabled process improvement,Dr Benjamin Jones,Children,1997,5,2021-09-22,Missing,978-1-353-13184-9
978-1-05-993423-2,Operative uniform contingency,Dr Rita Brady,Children,1999,4,2020-03-05,Checked Out,978-1-05-993423-2
978-0-10-912944-4,Front-line interactive open architecture,Marc Sharpe,Fiction,1962,8,2023-03-10,Available,978-0-10-912944-4
9780414087835,Sharable static Graphical User Interface,John Kirby,Reference,1952,2,2019-09-26,Checked Out,9780414087835
978-0-7798-2402-1,Re-engineered human-resource ability,Dr Jason Weston,Non-Fiction,1950,1,2018-10-10,Damaged,978-0-7798-2402-1
978-0-682-31379-7,Versatile responsive protocol,Norman Perry-Butler,Children,1963,9,2022-01-30,Missing,978-0-682-31379-7
978-0-00-962426-1,Cloned multi-tasking leverage,Deborah Sharp,Reference,1950,6,2018-07-06,Available,978-0-00-962426-1
978-1-896355-87-0,Triple-buffered incremental emulation,Miss Barbara Page,Reference,1964,7,2018-10-27,Reserved,978-1-896355-87-0
978-1-5263-4888-3,Decentralized background solution,Amelia Begum,Fiction,2008,5,2023-12-14,Available,978-1-5263-4888-3
978-0-7254-4225-5,Optional uniform utilization,Katherine Gordon-Young,Reference,1970,6,2021-10-12,Damaged,978-0-7254-4225-5
978-1-117-88280-2,Expanded object-oriented synergy,Glen Bull,Young Adult,1995,0,2019-04-15,Reserved,978-1-117-88280-2
978-0-345-53882-6,Reduced methodical portal,Samuel Brown-Thomas,Young Adult,1962,6,2018-08-05,Checked Out,978-0-345-53882-6
978-0-04-767666-6,Phased optimizing portal,Nicole Hammond,Non-Fiction,2015,10,2021-08-18,Reserved,978-0-04-767666-6
978-0-88745-871-2,Universal 24hour complexity,Dale Matthews,Non-Fiction,2005,5,2017-01-07,Damaged,978-0-88745-871-2
978-0-7531-3685-0,Optimized eco-centric forecast,Mr Joel Kelly,Reference,2021,10,2016-10-16,Damaged,978-0-7531-3685-0
978-0-526-21074-9,Versatile foreground matrices,Phillip Watts,Non-Fiction,1951,2,2022-12-25,Available,978-0-526-21074-9
978-1-4301-0614-2,Implemented 24/7 info-mediaries,Martin Gilbert,Children,2021,7,2016-12-06,Available,978-1-4301-0614-2
978-1-299-64574-5,Horizontal coherent open architecture,Ms Debra Scott,Fiction,1979,6,2019-04-21,Reserved,978-1-299-64574-5
978-0-319-97115-4,Realigned motivating protocol,Mrs Melissa Parkes,Non-Fiction,1986,7,2019-06-19,Damaged,978-0-319-97115-4
978-0-349-72969-5,Compatible dynamic task-force,Abdul Bryant,Children,1961,4,2019-08-28,Reserved,978-0-349-72969-5
978-0-10-034344-3,Streamlined contextually-based success,Joyce Parsons,Non-Fiction,2010,1,2017-12-10,Missing,978-0-10-034344-3
978-1-85861-888-3,Focused logistical database,Sara Miller,Young Adult,1987,5,2026-05-26,Checked Out,978-1-85861-888-3
9781860215995,Networked well-modulated attitude,Shane Richards,Fiction,1987,5,2021-08-15,Missing,9781860215995
978-1-943763-82-5,Balanced executive task-force,Brenda Faulkner,Children,1995,0,2025-08-18,Missing,978-1-943763-82-5
978-1-903312-22-3,Advanced hybrid data-warehouse,Susan Saunders,Fiction,1956,2,2022-06-16,Missing,978-1-903312-22-3
978-1-4807-0473-2,User-centric zero administration help-desk,Kate Gill,Fiction,2004,9,2017-09-27,Reserved,978-1-4807-0473-2
9781836874775,Adaptive static firmware,Allan Lowe,Children,2010,3,2017-08-16,Reserved,9781836874775
978-1-07-036665-4,Switchable intermediate policy,Jodie Singh,Young Adult,1982,2,2018-11-28,Damaged,978-1-07-036665-4
978-0-07-622821-8,Face-to-face next generation circuit,Mr Matthew Foster,Non-Fiction,1982,3,2017-01-10,Damaged,978-0-07-622821-8
978-0-19-386827-4,Secured bi-directional budgetary management,Sylvia Atkinson-Foster,Fiction,1954,9,2017-08-31,Available,978-0-19-386827-4
978-1-264-39330-5,Multi-tiered next generation hardware,Jemma Morgan,Reference,2016,2,2026-02-12,Reserved,978-1-264-39330-5
978-1-969206-66-5,Profound real-time focus group,Graeme O'Connor,Children,1957,10,2021-09-14,Missing,978-1-969206-66-5
978-1-85312-344-3,Stand-alone directional secured line,Miss Lynn Foster,Fiction,1983,6,2022-10-14,Reserved,978-1-85312-344-3
978-1-84981-184-2,Operative scalable budgetary management,Irene Pugh,Young Adult,1955,2,2018-09-15,Checked Out,978-1-84981-184-2
978-1-124-21063-6,Focused multi-state superstructure,Anne Richardson,Young Adult,1950,7,2018-08-04,Reserved,978-1-124-21063-6
978-0-7048-3648-8,Self-enabling tertiary concept,Alice Patel,Fiction,2012,0,2021-01-29,Damaged,978-0-7048-3648-8
978-0-659-55859-6,Inverse systematic methodology,Joan Marshall,Fiction,1971,2,2019-10-30,Reserved,978-0-659-55859-6
978-0-19-379313-2,De-engineered web-enabled productivity,Mrs Gail Collins,Non-Fiction,1992,5,2021-12-06,Checked Out,978-0-19-379313-2
978-0-659-72767-1,Self-enabling national intranet,Gemma Hanson,Fiction,1974,4,2020-07-05,Available,978-0-659-72767-1
9781775935865,Visionary leadingedge methodology,Dr Joan Kaur,Young Adult,2003,2,2024-04-23,Checked Out,9781775935865
978-0-417-49195-0,Phased bottom-line core,Mr Douglas Johnson,Reference,1953,9,2024-09-01,Reserved,978-0-417-49195-0
978-0-88426-723-2,Profit-focused demand-driven portal,Gary Winter,Children,1958,7,2016-11-20,Reserved,978-0-88426-723-2
978-0-7615-0011-7,Triple-buffered interactive data-warehouse,Rosie Shepherd,Children,1954,1,2021-07-30,Damaged,978-0-7615-0011-7
978-0-915480-44-9,Quality-focused homogeneous help-desk,Dean Knight,Non-Fiction,2007,9,2024-03-23,Available,978-0-915480-44-9
978-0-647-92149-4,Virtual zero-defect encryption,Dr Frances Brown,Children,2020,4,2023-12-28,Missing,978-0-647-92149-4
978-0-08-616479-7,Re-contextualized tangible synergy,Antony Bailey,Non-Fiction,2020,1,2018-09-03,Damaged,978-0-08-616479-7
978-1-991573-80-3,Compatible uniform framework,Matthew Smith,Non-Fiction,1976,3,2025-03-31,Missing,978-1-991573-80-3
9781996736722,Quality-focused 24hour array,Ms Janet Ingram,Young Adult,1963,0,2025-09-01,Missing,9781996736722
978-1-102-37264-6,Advanced web-enabled hierarchy,Vincent Kelly-Davies,Non-Fiction,2024,6,2019-07-09,Reserved,978-1-102-37264-6
9780058699722,Quality-focused fresh-thinking projection,Sean Thornton,Young Adult,1963,2,2019-10-20,Available,9780058699722
978-1-971557-93-9,Object-based asymmetric focus group,Melissa Harding,Young Adult,1986,6,2019-07-06,Reserved,978-1-971557-93-9
978-1-70115-491-9,Organized human-resource algorithm,Amber Morris,Young Adult,2011,6,2018-06-24,Reserved,978-1-70115-491-9
978-1-326-09685-4,Vision-oriented heuristic matrices,Mitchell Lewis,Young Adult,2021,5,2017-09-02,Damaged,978-1-326-09685-4
978-1-108-59735-7,Total human-resource policy,Ms Josephine Sharp,Non-Fiction,1992,0,2017-12-27,Missing,978-1-108-59735-7
978-1-943364-47-3,Synergistic uniform installation,Mr Glenn Rowe,Children,1995,0,2019-02-05,Available,978-1-943364-47-3
978-0-632-76765-6,Universal contextually-based Graphic Interface,Gregory Brown,Children,1981,9,2023-11-27,Missing,978-0-632-76765-6
978-1-58766-949-1,Synergized systematic strategy,Janet Flynn,Reference,1969,5,2018-11-30,Damaged,978-1-58766-949-1
9781155347455,Re-engineered foreground superstructure,Mr Jay Morris,Fiction,2024,9,2023-10-10,Checked Out,9781155347455
978-0-405-37729-7,Front-line transitional contingency,Natasha Ball-Evans,Reference,2005,1,2023-08-13,Available,978-0-405-37729-7
978-1-896539-45-4,Focused fault-tolerant projection,Sally Wright,Non-Fiction,2016,5,2022-10-19,Reserved,978-1-896539-45-4
978-0-7548-0780-3,Diverse coherent open architecture,Miss Rachel Jackson,Fiction,1982,3,2023-08-11,Missing,978-0-7548-0780-3
978-0-8338-5693-7,User-centric uniform product,Jonathan Webb,Non-Fiction,1991,10,2016-12-26,Reserved,978-0-8338-5693-7
978-0-369-64804-4,Distributed national implementation,Kyle Kirk,Non-Fiction,1951,3,2023-05-01,Checked Out,978-0-369-64804-4
978-1-373-04150-0,Balanced tertiary knowledgebase,Judith Anderson,Reference,2002,5,2017-04-05,Missing,978-1-373-04150-0
978-0-240-51026-2,Enterprise-wide upward-trending productivity,Dr Claire Willis,Fiction,2018,1,2019-07-16,Missing,978-0-240-51026-2
978-0-87963-346-2,Configurable empowering migration,Sharon White,Reference,1954,5,2018-08-04,Checked Out,978-0-87963-346-2
978-1-64660-332-9,Ameliorated contextually-based Graphical User Interface,Ben Pollard,Reference,1976,9,2022-01-28,Available,978-1-64660-332-9
978-0-9974159-2-6,Inverse leadingedge database,Jamie Butler,Children,1974,0,2019-03-04,Damaged,978-0-9974159-2-6
978-1-101-02760-8,Sharable impactful ability,Antony Evans,Young Adult,1978,0,2017-11-07,Missing,978-1-101-02760-8
978-0-9516484-9-0,Switchable hybrid complexity,Dr Billy Talbot,Non-Fiction,1956,3,2019-02-26,Missing,978-0-9516484-9-0
978-1-9738-3306-2,Synergistic well-modulated encoding,Dr Raymond Pearson,Reference,1987,0,2024-09-05,Available,978-1-9738-3306-2
978-1-4357-5478-2,Right-sized foreground installation,Benjamin Hall,Young Adult,2010,7,2018-02-10,Damaged,978-1-4357-5478-2
978-1-05-260270-1,Advanced methodical approach,Marion Campbell,Reference,1968,1,2022-09-05,Missing,978-1-05-260270-1
978-1-56707-181-8,Profit-focused radical toolset,Jenna O'Connor,Fiction,1952,5,2018-09-12,Available,978-1-56707-181-8
978-0-361-39123-8,Business-focused bandwidth-monitored hardware,George Jones,Young Adult,1962,9,2021-04-30,Damaged,978-0-361-39123-8
978-1-4599-8413-4,Exclusive maximized forecast,Mathew James-Green,Fiction,1995,7,2021-10-23,Reserved,978-1-4599-8413-4
978-1-68705-807-2,Grass-roots needs-based methodology,Gregory Barton,Children,1994,4,2020-01-26,Available,978-1-68705-807-2
9780651064071,Re-engineered bandwidth-monitored moratorium,Dr Jacob Parker,Young Adult,1964,4,2016-09-20,Checked Out,9780651064071
9781838478483,Down-sized global workforce,Dr Kathryn Wyatt,Reference,2008,6,2025-03-02,Damaged,9781838478483
978-0-348-57365-7,Exclusive bifurcated data-warehouse,Louise Pope,Non-Fiction,2020,10,2024-08-06,Reserved,978-0-348-57365-7
978-0-449-27280-0,Focused local task-force,Mr Guy Ward,Non-Fiction,1964,10,2016-12-01,Reserved,978-0-449-27280-0
9780178836434,Multi-lateral scalable emulation,Amelia Davies,Children,2002,7,2024-04-10,Damaged,9780178836434
978-1-78598-444-0,Adaptive bandwidth-monitored instruction set,Amelia Nicholls-Hunter,Reference,1990,9,2023-02-20,Damaged,978-1-78598-444-0
978-1-930320-75-8,Triple-buffered intangible alliance,Geoffrey Ryan,Reference,1970,9,2017-03-09,Damaged,978-1-930320-75-8
978-0-526-99015-3,Public-key homogeneous help-desk,Sam Hammond,Non-Fiction,2002,3,2017-10-20,Checked Out,978-0-526-99015-3
978-0-02-999663-8,Total value-added architecture,Dr Marc Stanley,Young Adult,1977,2,2021-11-15,Reserved,978-0-02-999663-8
978-0-923565-40-4,Customer-focused non-volatile workforce,Mr Nicholas Morgan,Non-Fiction,2012,0,2018-03-01,Checked Out,978-0-923565-40-4
978-0-7991-5402-3,Ameliorated hybrid architecture,Ms Amelia Saunders,Reference,1960,9,2016-10-16,Available,978-0-7991-5402-3
978-0-201-29531-3,Right-sized attitude-oriented intranet,Josh Bennett,Children,2002,6,2023-08-14,Reserved,978-0-201-29531-3
978-0-04-231820-2,Re-contextualized foreground adapter,Dr Donald Dawson,Fiction,1983,1,2016-10-23,Checked Out,978-0-04-231820-2
978-0-04-810930-9,Open-architected contextually-based challenge,Mrs Lisa Cross,Children,1974,0,2024-08-20,Damaged,978-0-04-810930-9
978-1-84738-577-2,Managed reciprocal archive,Glenn Bird,Young Adult,2016,10,2021-12-17,Checked Out,978-1-84738-577-2
978-0-9824553-8-8,Reverse-engineered 5thgeneration policy,Sandra Baker,Non-Fiction,2023,8,2024-05-09,Damaged,978-0-9824553-8-8
978-1-182-72382-6,Face-to-face incremental adapter,Carl Hart-Jones,Young Adult,2020,1,2021-02-19,Damaged,978-1-182-72382-6
978-1-295-18525-2,Up-sized web-enabled product,Anna Williams,Fiction,1995,10,2023-10-08,Available,978-1-295-18525-2
978-1-68815-590-9,Proactive reciprocal implementation,Ms Marie Martin,Reference,1963,7,2024-12-17,Available,978-1-68815-590-9
978-0-8196-9544-4,Realigned dynamic archive,Anthony Walsh-Baker,Non-Fiction,1984,2,2022-06-03,Checked Out,978-0-8196-9544-4
978-1-150-48849-8,Diverse client-driven artificial intelligence,Jay Anderson,Young Adult,1980,7,2020-12-25,Reserved,978-1-150-48849-8
978-1-08-924464-6,Advanced bifurcated Internet solution,Bethan Harris,Non-Fiction,2009,3,2019-01-16,Missing,978-1-08-924464-6
978-0-507-69555-8,Monitored asynchronous infrastructure,Russell Reeves,Fiction,1958,3,2021-05-19,Available,978-0-507-69555-8
978-1-58810-822-7,Fully-configurable empowering algorithm,Dr Leon Jones,Reference,1983,3,2019-09-23,Reserved,978-1-58810-822-7
978-1-5477-7745-7,Decentralized foreground structure,Diane Simpson,Fiction,1974,5,2022-10-01,Damaged,978-1-5477-7745-7
978-1-4123-8724-8,Sharable explicit encoding,Adrian Cross,Fiction,2005,8,2023-08-21,Checked Out,978-1-4123-8724-8
978-1-9790-0704-7,Customizable non-volatile attitude,Karl Parsons,Young Adult,1965,1,2019-08-24,Available,978-1-9790-0704-7
978-1-948496-74-2,Grass-roots needs-based algorithm,Ms Jacqueline Whitehead,Children,2009,6,2019-08-29,Checked Out,978-1-948496-74-2
978-1-62395-671-4,De-engineered user-facing system engine,Mohammad Shepherd,Fiction,2006,3,2025-11-15,Reserved,978-1-62395-671-4
978-1-59350-276-8,Object-based analyzing knowledge user,Stacey Long,Young Adult,2018,7,2025-02-07,Checked Out,978-1-59350-276-8
978-1-906412-27-2,Right-sized content-based core,Brett Edwards,Children,1989,1,2024-05-18,Reserved,978-1-906412-27-2
978-1-65314-513-3,Ameliorated client-server application,Dr Henry Skinner,Children,1994,6,2017-12-02,Reserved,978-1-65314-513-3
978-0-7005-4558-2,Inverse didactic toolset,Dr Leslie Pearson,Young Adult,1974,1,2022-01-19,Available,978-0-7005-4558-2
9781559556217,Expanded eco-centric orchestration,Douglas Saunders,Young Adult,2015,8,2024-09-07,Reserved,9781559556217
978-0-357-66808-5,Intuitive coherent definition,Paige Patel,Reference,1972,6,2026-04-05,Damaged,978-0-357-66808-5
978-0-491-08604-2,Expanded neutral collaboration,Elizabeth Whittaker,Non-Fiction,2010,10,2018-03-24,Available,978-0-491-08604-2
978-0-7155-7852-0,Virtual foreground utilization,Mr Tom Clarke,Fiction,2019,10,2024-06-05,Missing,978-0-7155-7852-0
978-1-933686-09-7,Intuitive asymmetric encryption,Kim Davey,Reference,1984,3,2022-05-13,Missing,978-1-933686-09-7
978-0-608-98885-6,Object-based context-sensitive portal,Katie Gill-King,Non-Fiction,1955,1,2020-07-27,Reserved,978-0-608-98885-6
978-0-05-583911-4,Stand-alone reciprocal methodology,Dr John Jones,Reference,1996,7,2018-09-07,Missing,978-0-05-583911-4
9781320264006,Mandatory homogeneous conglomeration,Eleanor Evans,Fiction,2001,5,2017-11-11,Damaged,9781320264006
978-0-396-37902-7,Function-based coherent budgetary management,Mrs Eileen Wallace,Fiction,2016,8,2024-01-31,Available,978-0-396-37902-7
978-0-88782-188-2,Multi-channeled non-volatile toolset,Dr Kevin Adams,Children,1958,8,2023-10-17,Missing,978-0-88782-188-2
978-1-4781-6766-2,Function-based fresh-thinking firmware,Mr Charlie Storey,Fiction,1966,4,2023-09-07,Reserved,978-1-4781-6766-2
978-1-208-34812-5,Proactive multi-tasking synergy,Mr Leon Lane,Young Adult,1973,8,2017-01-20,Missing,978-1-208-34812-5
978-0-664-74264-5,Seamless motivating model,Dr Nicole Ford,Non-Fiction,2005,1,2025-03-23,Damaged,978-0-664-74264-5
978-0-478-32796-0,Customer-focused multi-tasking intranet,Mr Thomas Williams,Non-Fiction,1983,6,2022-08-16,Available,978-0-478-32796-0
978-0-7958-1877-6,Virtual neutral portal,Mr Thomas Allan,Reference,2008,3,2021-12-31,Damaged,978-0-7958-1877-6
978-1-992468-71-9,Distributed 5thgeneration core,Joanna Charlton,Non-Fiction,1960,4,2025-07-02,Missing,978-1-992468-71-9
9781693995316,Persistent foreground contingency,Chelsea Chapman,Non-Fiction,1961,8,2022-09-09,Available,9781693995316
978-1-66423-940-1,Diverse responsive extranet,Bradley Atkins-Porter,Non-Fiction,2007,2,2025-07-11,Checked Out,978-1-66423-940-1
978-1-908964-96-0,Assimilated local Internet solution,Miss Carole Hill,Reference,1975,8,2025-06-14,Available,978-1-908964-96-0
978-1-81182-292-0,Re-engineered bandwidth-monitored website,Miss Dorothy Smith,Children,1993,0,2021-11-06,Checked Out,978-1-81182-292-0
9780468722034,Persistent mobile hierarchy,Brett Hardy,Fiction,2017,3,2019-07-27,Reserved,9780468722034
9780378406130,Intuitive transitional middleware,Rachael Reid,Reference,1964,10,2017-12-11,Available,9780378406130
978-1-4857-8304-6,Customizable cohesive ability,Mr Damian Reid,Young Adult,1986,7,2024-06-23,Damaged,978-1-4857-8304-6
9781965765784,Advanced 24/7 benchmark,Georgia Birch-Smith,Children,2024,2,2018-12-09,Damaged,9781965765784
978-0-05-512676-4,Virtual regional benchmark,Dr Joseph Todd,Non-Fiction,2021,6,2016-10-31,Missing,978-0-05-512676-4
978-1-943632-70-1,Versatile bandwidth-monitored matrix,Kenneth Edwards,Fiction,1976,3,2019-10-11,Damaged,978-1-943632-70-1
9781146534420,Profound explicit core,Jodie Bruce,Non-Fiction,1970,10,2021-08-08,Damaged,9781146534420
978-0-421-86747-5,Open-source intermediate access,James Smith,Reference,1963,8,2019-10-19,Available,978-0-421-86747-5
9781203519193,Streamlined encompassing policy,Jill Martin,Children,1994,3,2025-09-23,Missing,9781203519193
978-0-565-13358-0,Cross-platform dynamic open system,Janice Cox,Non-Fiction,1996,8,2025-07-27,Missing,978-0-565-13358-0
978-0-8143-2298-7,Multi-channeled tangible leverage,Margaret Davies,Non-Fiction,1954,2,2018-07-06,Available,978-0-8143-2298-7
978-1-63279-042-2,Compatible high-level service-desk,Dr Duncan Taylor,Non-Fiction,2000,7,2020-08-15,Available,978-1-63279-042-2
978-0-8106-0891-7,Enhanced disintermediate middleware,Dr Antony Kent,Young Adult,1956,10,2020-07-18,Checked Out,978-0-8106-0891-7
978-0-05-229184-7,Assimilated zero tolerance attitude,Roy Taylor-Heath,Non-Fiction,2014,4,2018-05-21,Available,978-0-05-229184-7
978-1-4965-9905-6,Synchronized didactic moderator,Gregory Carter,Young Adult,2016,7,2019-03-29,Damaged,978-1-4965-9905-6
978-1-02-599611-0,Object-based didactic service-desk,Sarah Chandler-Harris,Fiction,1969,8,2021-06-05,Damaged,978-1-02-599611-0
978-0-583-04077-8,Multi-layered asynchronous groupware,Dr Graeme Reynolds,Children,1951,7,2026-06-24,Checked Out,978-0-583-04077-8
978-0-306-10922-5,Diverse contextually-based portal,Mr Bruce Law,Young Adult,1982,8,2025-06-03,Missing,978-0-306-10922-5
978-1-897453-71-1,Diverse motivating product,Katy Morgan,Fiction,1950,5,2024-08-01,Available,978-1-897453-71-1
978-1-320-43192-7,Re-contextualized attitude-oriented Local Area Network,Damien Day,Non-Fiction,1961,6,2022-04-01,Damaged,978-1-320-43192-7
978-1-312-66656-6,Team-oriented multi-tasking contingency,Dr Dale Willis,Reference,1959,2,2024-05-18,Missing,978-1-312-66656-6
978-0-336-16558-1,Persevering optimizing Graphical User Interface,Dr Jayne Mills,Reference,1981,7,2022-10-31,Missing,978-0-336-16558-1
978-1-247-55526-3,Organic hybrid Internet solution,Ann Francis,Non-Fiction,2019,5,2020-12-31,Missing,978-1-247-55526-3
978-0-03-670275-8,Universal user-facing support,Danielle Kemp-Ward,Non-Fiction,1957,8,2020-04-09,Checked Out,978-0-03-670275-8
978-0-05-687069-7,Organized executive data-warehouse,Dr Mohammed Turner,Non-Fiction,2007,10,2025-03-17,Missing,978-0-05-687069-7
978-1-71121-816-8,Progressive contextually-based frame,Ian Stevens,Fiction,1985,6,2025-10-01,Missing,978-1-71121-816-8
978-0-235-39330-6,Customizable motivating access,Mr George Richards,Children,1981,9,2020-02-27,Reserved,978-0-235-39330-6
978-1-84951-657-0,Profit-focused encompassing secured line,Katherine Williams-Barrett,Non-Fiction,2003,9,2018-02-26,Missing,978-1-84951-657-0
978-1-943218-30-1,Fundamental 5thgeneration website,Alexander Harrison,Non-Fiction,1981,2,2026-01-23,Available,978-1-943218-30-1
978-1-264-68551-6,Self-enabling object-oriented artificial intelligence,Michelle Thomas,Young Adult,1971,10,2020-10-22,Reserved,978-1-264-68551-6
978-0-04-115488-7,Up-sized holistic circuit,Dean Hartley,Reference,2003,1,2023-10-13,Available,978-0-04-115488-7
978-1-109-33465-4,Multi-channeled intermediate extranet,Miss Bethany Rice,Children,2005,10,2018-04-10,Checked Out,978-1-109-33465-4
978-0-633-05754-1,Centralized disintermediate moderator,Mr Phillip Newton,Non-Fiction,1956,6,2018-01-10,Damaged,978-0-633-05754-1
978-1-00-984164-1,Reverse-engineered eco-centric knowledge user,Jemma Jackson,Reference,1953,1,2020-07-19,Missing,978-1-00-984164-1
978-1-70217-047-5,Face-to-face content-based knowledge user,Jill Schofield,Children,1999,7,2016-10-30,Available,978-1-70217-047-5
978-0-259-28339-3,Monitored bottom-line architecture,Bethan Jenkins,Fiction,1985,1,2024-09-02,Checked Out,978-0-259-28339-3
978-0-7856-8176-2,Configurable systematic workforce,Anne Bryan,Reference,1950,4,2023-09-11,Reserved,978-0-7856-8176-2
978-1-05-917393-8,Optional bandwidth-monitored hardware,Scott Marsh,Young Adult,1963,2,2019-12-20,Available,978-1-05-917393-8
978-0-05-591698-3,Configurable background moratorium,Dr Denis Doyle,Reference,1975,6,2018-04-23,Checked Out,978-0-05-591698-3
978-0-17-936470-7,Front-line bottom-line open architecture,Ms Tracey Harding,Children,2020,7,2024-01-23,Reserved,978-0-17-936470-7
978-1-06-545259-1,Down-sized regional matrices,Dr Laura Ryan,Reference,1992,6,2025-09-14,Checked Out,978-1-06-545259-1
978-1-70765-094-1,Assimilated regional intranet,Mr Max Green,Non-Fiction,2007,8,2024-10-05,Missing,978-1-70765-094-1
978-0-07-856227-3,Multi-layered fault-tolerant emulation,Ms Frances Russell,Young Adult,1958,7,2026-01-20,Checked Out,978-0-07-856227-3
978-0-602-61186-6,Future-proofed multi-state superstructure,Heather Hall,Non-Fiction,2007,7,2017-08-27,Damaged,978-0-602-61186-6
9780093609199,Up-sized neutral throughput,Ms Naomi Jones,Fiction,2003,3,2019-05-27,Missing,9780093609199
978-0-8170-0327-2,Profound eco-centric projection,Dr Henry Stephens,Children,1958,3,2022-05-27,Damaged,978-0-8170-0327-2
978-0-8058-7777-9,Open-architected asymmetric matrix,Brett Read-Holmes,Reference,2022,9,2024-08-18,Available,978-0-8058-7777-9
978-0-497-26821-3,Open-architected radical collaboration,Bruce Ellis,Young Adult,1996,7,2018-02-07,Reserved,978-0-497-26821-3
978-1-69646-077-4,Seamless actuating project,Jade Bibi,Fiction,2002,9,2017-09-09,Missing,978-1-69646-077-4
978-1-956919-22-6,Decentralized 6thgeneration challenge,Simon Griffiths,Children,1978,6,2017-07-22,Damaged,978-1-956919-22-6
978-1-135-63974-7,Cross-platform mobile alliance,Claire Harris-Bowen,Non-Fiction,1981,7,2021-12-08,Reserved,978-1-135-63974-7
